epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,242.72,1.81238,2.11632,2.14142,0.75963,0.67596,0.74507,0.26773,2.18231,1.56705,2.55603,0.080162,0.000139845,0.000139845
2,464.37,1.76508,1.98028,2.08239,0.45993,0.48491,0.41588,0.14113,2.32337,1.95255,2.79562,0.060302,0.000279828,0.000279828
3,685.402,1.74087,1.94041,2.05758,0.71115,0.7071,0.68977,0.25388,2.04101,1.57892,2.49684,0.0404419,0.000419742,0.000419742
4,909.912,1.70889,1.8857,2.03419,0.68789,0.70273,0.71882,0.27048,2.02295,1.56147,2.4047,0.0205817,0.000559536,0.000559536
5,1131.99,1.69858,1.84347,2.01409,0.83587,0.7541,0.81627,0.32243,2.067,1.27074,2.43312,0.000721306,0.000699158,0.000699158
6,1353.14,1.67542,1.7989,1.99417,0.81929,0.71846,0.78411,0.30248,2.02537,1.42613,2.38508,0.000698926,0.000698926,0.000698926
7,1574.59,1.66759,1.7727,1.97673,0.80091,0.74081,0.81179,0.32816,1.93084,1.34975,2.31577,0.000698454,0.000698454,0.000698454
8,1796.18,1.64833,1.7295,1.95384,0.84548,0.78087,0.84997,0.35625,1.92581,1.23585,2.3168,0.000697897,0.000697897,0.000697897
9,2016.51,1.63142,1.70758,1.94488,0.84238,0.77049,0.84452,0.35804,1.95911,1.15244,2.34339,0.000697254,0.000697254,0.000697254
10,2231.4,1.62694,1.65763,1.93785,0.8489,0.79206,0.84599,0.35764,1.94035,1.17837,2.32287,0.000696526,0.000696526,0.000696526
11,2446.48,1.61568,1.64881,1.9353,0.88072,0.78679,0.86624,0.35852,1.97181,1.164,2.36362,0.000695712,0.000695712,0.000695712
12,2662.1,1.6064,1.62623,1.92478,0.87531,0.79016,0.85975,0.37759,1.90941,1.10307,2.29993,0.000694814,0.000694814,0.000694814
